epoch,lr,time,loss
0,0.001,20:17:47,3.7514140486717222
1,2.4999999999999998e-06,20:17:48,3.6157741248607635
2,4.9999999999999996e-06,20:17:49,3.305674171447754
3,7.499999999999999e-06,20:17:50,2.9689532309770583
4,9.999999999999999e-06,20:17:51,2.653070929646492
5,1.2499999999999999e-05,20:17:52,2.418296691775322
6,1.4999999999999999e-05,20:17:54,2.1955769166350363
7,1.75e-05,20:17:55,2.0387323826551436
8,1.9999999999999998e-05,20:17:56,1.8680249884724618
9,2.2499999999999998e-05,20:17:57,1.6681074023246765
10,2.4999999999999998e-05,20:17:58,1.5722786746919155
11,2.7499999999999998e-05,20:18:00,1.4282269328832626
12,2.9999999999999997e-05,20:18:01,1.3087423682212829
13,3.25e-05,20:18:02,1.1509962938725948
14,3.5e-05,20:18:03,1.1037214875221253
15,3.75e-05,20:18:04,0.995211286842823
16,3.9999999999999996e-05,20:18:05,0.9287891581654548
17,4.2499999999999996e-05,20:18:07,0.8688293226063252
18,4.4999999999999996e-05,20:18:08,0.8328633353114128
19,4.7499999999999996e-05,20:18:09,0.7840793371200562
20,4.9999999999999996e-05,20:18:10,0.7265950907021761
21,5.2499999999999995e-05,20:18:11,0.6825395148247481
22,5.4999999999999995e-05,20:18:13,0.7122486516833305
23,5.7499999999999995e-05,20:18:14,0.6898806318640709
24,5.9999999999999995e-05,20:18:15,0.6615629028528929
25,6.25e-05,20:18:16,0.6495715130120516
26,6.5e-05,20:18:18,0.5968154206871986
27,6.75e-05,20:18:19,0.6287992693483829
28,7e-05,20:18:20,0.5645944301038981
29,7.25e-05,20:18:21,0.5462838653475046
30,7.5e-05,20:18:22,0.5236972320824862
31,7.75e-05,20:18:23,0.5158256448805332
32,7.999999999999999e-05,20:18:24,0.527740258909762
33,8.25e-05,20:18:26,0.5267784893512726
34,8.499999999999999e-05,20:18:27,0.48939130194485186
35,8.75e-05,20:18:28,0.4990062344819307
36,8.999999999999999e-05,20:18:29,0.4089080527424812
37,9.25e-05,20:18:30,0.47168387491256
38,9.499999999999999e-05,20:18:31,0.45595108419656755
39,9.75e-05,20:18:33,0.39410326089709996
40,9.999999999999999e-05,20:18:34,0.38627455458045007
41,0.0001025,20:18:35,0.37829596903175117
42,0.00010499999999999999,20:18:36,0.37576483134180305
43,0.0001075,20:18:37,0.40071153212338684
44,0.00010999999999999999,20:18:38,0.44039136078208685
45,0.0001125,20:18:40,0.3590513151139021
46,0.00011499999999999999,20:18:41,0.3561964834108949
47,0.0001175,20:18:42,0.35496012941002847
48,0.00011999999999999999,20:18:43,0.3199788574129343
49,0.0001225,20:18:44,0.36538888812065123
50,0.000125,20:18:45,0.3083188420161605
51,0.00012749999999999998,20:18:47,0.32320354841649535
52,0.00013,20:18:48,0.33119162283837794
53,0.0001325,20:18:49,0.3157849445939064
54,0.000135,20:18:51,0.29533682744950057
55,0.00013749999999999998,20:18:52,0.3165769848972559
56,0.00014,20:18:53,0.27836641082540153
57,0.0001425,20:18:54,0.319113502278924
58,0.000145,20:18:55,0.2930408647283912
59,0.00014749999999999998,20:18:56,0.2630771592259407
60,0.00015,20:18:57,0.29266654793173075
61,0.0001525,20:18:59,0.2879940878599882
62,0.000155,20:19:00,0.2522413179278374
63,0.00015749999999999998,20:19:01,0.2994790930300951
64,0.00015999999999999999,20:19:02,0.25234540943056344
65,0.0001625,20:19:03,0.2704686000943184
66,0.000165,20:19:04,0.24555430877953768
67,0.0001675,20:19:06,0.2890893341042101
68,0.00016999999999999999,20:19:07,0.28026237422600386
69,0.0001725,20:19:08,0.26330862902104857
70,0.000175,20:19:09,0.24301314279437064
71,0.0001775,20:19:10,0.211521200183779
72,0.00017999999999999998,20:19:11,0.27308385176584127
73,0.0001825,20:19:13,0.2523219616152346
74,0.000185,20:19:14,0.22703357562422752
75,0.0001875,20:19:15,0.22769485097378492
76,0.00018999999999999998,20:19:16,0.2686475219205022
77,0.0001925,20:19:17,0.24331018021330236
78,0.000195,20:19:19,0.2461979866027832
79,0.0001975,20:19:20,0.2892677266150713
80,0.00019999999999999998,20:19:21,0.24461492877453567
81,0.0002025,20:19:22,0.2256160187534988
82,0.000205,20:19:23,0.20984598733484744
83,0.0002075,20:19:24,0.2443795724771917
84,0.00020999999999999998,20:19:26,0.25848181582987306
85,0.0002125,20:19:27,0.2310710223391652
86,0.000215,20:19:28,0.2111491674557328
87,0.0002175,20:19:29,0.20914429994300007
88,0.00021999999999999998,20:19:30,0.1950245786458254
89,0.0002225,20:19:31,0.22007081396877765
90,0.000225,20:19:33,0.19248324800282718
91,0.0002275,20:19:34,0.23212142810225486
92,0.00022999999999999998,20:19:35,0.20478944377973676
93,0.00023249999999999999,20:19:36,0.2145482925698161
94,0.000235,20:19:37,0.22121395096182822
95,0.0002375,20:19:38,0.2605768287554383
96,0.00023999999999999998,20:19:40,0.2951041636057198
97,0.00024249999999999999,20:19:41,0.1968152167275548
98,0.000245,20:19:42,0.20102906739339232
99,0.0002475,20:19:43,0.22642765417695046
100,0.00025,20:19:44,0.22117001693695784
101,0.0002525,20:19:46,0.22862603636458517
102,0.00025499999999999996,20:19:47,0.1895028437487781
103,0.00025749999999999997,20:19:48,0.21219045892357827
104,0.00026,20:19:49,0.21358897001482546
105,0.0002625,20:19:50,0.1894609126728028
106,0.000265,20:19:51,0.2025185783393681
107,0.0002675,20:19:53,0.19966663587838412
108,0.00027,20:19:54,0.19642905639484526
109,0.0002725,20:19:55,0.18173585375770926
110,0.00027499999999999996,20:19:56,0.16452127662487329
